pm25,temperature,humidity,wind_speed,rainfall,hour,day_of_week,week_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_roll_std_6,pm25_roll_std_12,pm25_roll_std_24,pm25_roll_mean_48,pm25_roll_std_48,temperature_lag_24,humidity_lag_24,wind_speed_lag_24,rainfall_lag_24,pm25_lag_168,pm25_lag_336,pm25_roll_min_24,pm25_roll_max_24,pm25_roll_min_48,pm25_roll_max_48,pm25_roll_median_24,pm25_roll_q75_24,pm25_diff_1,pm25_diff_24,pm25_diff_48,pm25_diff_168,temp_humidity,wind_x_humidity,wind_roll_mean_24,humid_roll_mean_24,temp_roll_std_24,day_of_year_sin,day_of_year_cos,is_rush_hour,is_night
-1.412760668284373,-0.11302612354006944,-0.06708126825026611,-2.315071482695533,-1.0696018518432766,0.04450392082131488,-1.0700081231361578,-1.232762301970252,-0.00292960427323644,-0.0024091252248382667,-0.515711594068446,-0.038336163995203565,-0.1792158860918536,-0.8929994467424935,-0.6009714973754204,-1.0194314006147964,-0.03639112286774621,0.0760942946724835,0.06536844923509084,0.04721287066809332,0.24906118755065448,-0.14528045653984245,0.39250134904256523,-5.959080741893274,0.6276135820826316,-0.09580245781560462,0.026718735597232195,0.07257027353801394,-0.00786368210544177,-0.15188500936998342,-0.2929134993843626,-3.499385086813008,0.07736667919171306,-0.519685821685698,0.6992078300158177,-18.588710803630228,-3.6618884213003478,0.04979417890896509,0.26257329193181295,0.062389371031764465,-0.001443234059410078,-3.1703162037314545,-2.317896014974956,-0.8552261492970206,-0.758200830685639,-1.8347666619375742,-0.7093346416834396,-4.691216879118027,-8.953157496601144e-05,0.000535068232686818
-3.142761219497244,-0.10304720639577908,-0.08079741554335342,-1.8052865806569955,-1.599223005715572,0.05120144731683046,-1.159679471941556,-1.2605277546065234,-0.005356333109361791,0.01352195549800615,-0.3481604896057573,-0.060540037761041623,-0.15955874884307494,-0.11012042699590206,-0.5600723812715539,-0.6270329728341739,-0.03486558901613336,0.08429945137825168,0.034543004388266525,0.07126628532576595,0.2314841543291634,-0.06994247602675868,0.4851853849043572,-5.71525038005428,0.6729928296261197,-0.07273043978865888,0.020084516630907302,-0.45897929498055967,-0.0017140599399160393,-0.15628443699945266,-0.2489290756937844,-3.276394706059802,0.04432607350525869,-0.4475390927871808,1.1989025854352542,-18.503274905764833,-3.648698901454276,0.06704378348011304,0.5720796143997524,-0.27803492249913386,0.010555051509240748,-3.064892100984185,-2.3105811389091264,-0.6672273677213757,-0.751576336300644,-1.823725343923299,-0.6138399638050723,-4.292372293735937,-8.953157496601144e-05,0.0007109215042660926
-3.396318828231481,-0.05567270154161997,-0.07826573375610085,-0.9308345552439325,-0.38580608296367874,0.05192288721120553,-1.2035405240198698,-1.2282637283224924,-0.002279961993811669,0.008345343895713448,-0.336803212660535,-0.07259768216596796,-0.17939432765885635,-0.5525929416897348,-0.7463770313851978,-0.5031253122859433,-0.03532631120216183,0.08910875825673248,0.0324695316957578,0.07914496272746582,0.19743016168315733,-0.11150582573418888,0.4428733714195517,-5.683066108213837,0.8280726719513422,-0.0804761444595718,-0.004442935340279948,-0.5869939543940078,-0.003913122877725387,-0.11028104205531182,-0.2569230558682671,-3.3710976241267248,0.12662630830664787,-0.4733746045990681,1.1893820261785244,-18.923745475641947,-3.615842986180202,0.07373797862693965,0.6280061423496369,-0.40803654671665535,0.07123406251901292,-3.3699099997537187,-2.309012341959654,-0.6325184031577908,-0.8016352189097631,-1.8220556360377824,-0.5806598804242588,-4.944305236410965,-8.953157496601144e-05,0.0007109215042660926
-3.945269204889084,-0.05414609033751381,-0.08079240706593363,-0.6857896590126971,0.09810686457399537,0.04502673727202269,-1.1053123924447654,-1.3206767027960318,-0.0037751590912742847,0.021503347897880172,-0.03480294449483095,-0.07706126865931497,-0.21466137431641658,-0.5981800771081063,0.48454570703035943,-0.5030333545973412,-0.051239433097163826,0.07398821027461508,0.08473509473888513,0.1158486884323564,0.2505414412551231,-0.06243433385605742,0.472154066808,-5.763733859488617,0.6892528151058678,-0.06142221040383968,-0.020791788675984833,-0.2627486368286839,-0.00185378871486437,-0.13042305765017967,-0.30099242569838797,-3.6509681946458468,0.05749887234485403,-0.4759683355747406,1.158385763125907,-19.283383498808675,-3.7358758422389364,0.07972785549278644,0.4973643511197943,-0.08983293343941143,0.004942585051121095,-3.314195348467536,-1.7130758733735947,-0.6324155521661118,-0.6694116549938776,-1.8143387475114663,-0.5143712974967753,-5.295315934107353,-8.953157496601144e-05,0.0005600567556872209
-4.471307327109825,-0.0582110074713058,-0.08331920535181409,-1.3369277760577694,0.08449941718965151,0.04340952168014465,-1.0739836830842409,-1.1877599240446792,-0.003973464398459675,0.02041726288621598,-0.002498523878299453,-0.06973481581594783,-0.19304246748763498,-0.7094005606603385,-0.594736705506546,-0.5471476556432051,-0.051020772314723836,0.06580012277470576,0.08835297928421822,0.1584742225047702,0.2277738737845216,-0.03320328978767461,0.4106159433351676,-5.62214198787451,0.6692148402487765,-0.056120174939952784,-0.023432114913232,0.4341709185686208,-0.0029393955938598355,-0.13053613860147675,-0.22090783070218145,-3.4783045300452686,0.10283226600197741,-0.45397508525075336,1.1472401890743738,-19.01274482198315,-3.609851646261166,0.07785204522008393,0.27881719814009803,-0.22943551362105633,0.009871073080679343,-3.09647539065217,-2.2029212229994437,-0.6495217445006174,-0.698803329479166,-1.7350578297515908,-0.5438068528497254,-4.831484399208428,-8.953157496601144e-05,-0.0004665848394685805
-4.212763013699289,-0.09901061039091205,-0.0803626762127949,-2.1055057692044064,0.08203755456809615,0.0318170567289094,-1.0315060978417547,-1.1671084788747181,-0.003918106675660464,0.022620591379340457,0.15948397512703777,-0.06337343084378382,-0.19348292617010818,-1.0201226599814448,-0.6161164068058066,-0.5021924363213429,-0.051472836580253215,0.04330726747600673,0.07302811992093787,0.06833614689196096,0.23807896439066228,-0.02120087928710591,0.33087548963243124,-5.745519064219965,0.664270190903221,-0.05507282010171273,-0.0022930596467635725,1.0742461348074075,-0.005697612260796129,-0.13845056366209146,-0.2325519096550475,-3.5398599979977603,0.04684556118474207,-0.4422368609729409,1.065668063000155,-18.700023165732702,-3.6466403658492053,0.08176214715375806,-0.13209250283515048,0.06508204526501078,0.009031827872508275,-3.0438322146259242,-2.289853000807838,-0.6519389000137099,-0.7044900491412711,-1.7632352801212485,-0.5694102788173658,-4.752264556485209,0.0003178942477356174,-0.00046191698867468226
-1.6092735472232682,-0.10886261220800339,-0.07373518532718992,-2.5182397021630094,0.07916671160374598,0.03968556459366504,-1.150910544133592,-1.317742295159262,-0.0041054924469144495,0.004865336990915381,0.2054437605703032,-0.047143743567914925,-0.2095379591083375,-0.875849204658892,-0.5851743246925825,0.16609163013491915,-0.05264514760613519,0.0650864496501463,0.07948887016055536,0.07661122196815481,0.2246746550424703,-0.10731894574094215,0.30732858564384247,-5.918104384659812,0.6816545262879073,-0.13556620287432655,0.02290601503342531,0.9841167445812391,-0.007753660344632673,-0.1471552732405646,-0.1820679218549371,-3.368172765560007,0.07173174456305315,-0.47555171212760067,1.1310264330376043,-18.81826237329694,-3.61326104595503,0.08186515129810044,0.14523301836754882,-0.010474629412701358,-0.1305148186481776,-3.121374422126231,-2.6137010661869993,-0.7735542814867368,-0.6976105389141776,-1.8136244951298546,-0.5431412228768578,-5.119431065587435,0.0003178942477356174,-0.000803323132138697
-3.7426363266437446,-0.10224740401798596,-0.07889668733369654,-2.2674688350981222,-1.0077700639294873,0.05165675641462505,-1.0669286151770208,-1.2193712821606593,-0.004097271462776711,0.030578502196980405,0.33546303249775944,-0.04719709441045227,-0.1882592732912174,-0.23173427803999594,-0.7117822928630326,-0.30240614610999694,-0.04186003989236676,0.05991998224690996,0.08106594995082775,0.049984624483102265,0.2740888272172101,-0.11814185590051784,0.35292055784561216,-5.680598669587727,0.4252545770093433,-0.13925860682522567,-0.0016742794954123401,1.0719773797232768,-0.005629524985388999,-0.1280577277704446,-0.24993103087312968,-3.391014978551941,0.025086271595100372,-0.44329599063022646,0.9972854675742132,-18.606076764262323,-3.5808962625393814,0.07656327297756574,0.5828488734556704,0.03008339212286473,0.019661137479961687,-3.0195287230916636,-2.2117215583281413,-0.650231872100921,-0.6139135028778772,-1.7771480132408146,-0.5425939510432184,-4.5407491142564735,0.0003178942477356174,-0.0003722564320343018
-4.3308806780178495,-0.08377474005877802,-0.08725487478232048,-2.032289006986011,-1.1625425062119257,0.06544839202578479,-1.0173896759906338,-1.2094122828467242,-0.006832715623948055,0.021142678774580294,0.3873259803701926,-0.052628712208996356,-0.17479493692574316,-0.6805489191799908,-0.7023145612285784,-0.351290941842385,-0.03409127165404488,0.04462771657553488,0.08715202375368557,0.06457069668552631,0.2576198766437888,-0.005866972639708671,0.3102847062645645,-5.60902675796715,0.43945930423456453,-0.1687310127907143,-0.030637058041032162,1.1210595644734274,0.01211477560254098,-0.13021140191646663,-0.2640478271377766,-3.3892068343198662,0.035020832019735944,-0.41213496538457867,1.0404426838988845,-18.410458307720543,-3.523608719271915,0.09169935301947121,-0.0304884829234182,0.07454866681908044,-0.031433678220923106,-2.98110341174856,-2.2000177546233233,-0.5405978719271541,-0.6203361833392151,-1.782491295132847,-0.5742762202694355,-4.270602793544923,-8.953157496601144e-05,-0.0003769242828282
-4.5909073644614615,-0.17158801288302358,-0.012292264573138674,-1.8886737556390192,-0.9774569166482611,0.09082386994229542,-1.0087369558211836,-1.2432989284797409,-0.003835871355731504,0.01651529057946332,0.38962944586817994,-0.05302916080307666,-0.1788542433556587,-1.022967401989852,0.47909673620798465,-0.37895837439245805,-0.030330329840275953,0.04996731398744235,0.08343995188904695,0.08984093798193281,0.2816716964282474,0.005653541247002276,0.2913402684273209,-5.823680697266117,0.4180373370327511,-0.16911665151254984,-0.024172867013882108,1.1228297635711713,0.009551761588040244,-0.1277306058696644,-0.279091275353616,-3.5312832657379207,0.03444237981328061,-0.4321594565101888,1.1096942764908082,-18.579513447118305,-3.769540722335936,0.09119591285751984,-0.003336743052264885,0.00839266474171991,-0.07007489940351483,-3.1370365260583224,-2.248277219726568,-0.5997483800521487,-0.6052251952205097,-1.8537078552367194,-0.5609627428189188,-4.559777787696194,-8.953157496601144e-05,-0.0003769242828282
-5.9511352817859295,-0.10252055585295186,-0.011600371585118875,-2.3127176769946987,-1.4913440693646354,0.09911201796201383,-0.9465259093274137,-1.2213654969496264,-0.0065710803023885074,-0.022092668123045237,0.35899728958329585,-0.05675019811390128,-0.17219395103918234,-1.0337120465276504,-0.5615908953719297,-0.362664187990852,-0.03463529445693445,0.047029409789294055,0.0594341484218802,0.0466758228509506,0.2629982212519775,0.02284214178199963,0.3037445099625322,-5.704923948686993,0.4160214745049596,-0.14764602768125237,-0.04121950469755791,1.198959322595,0.0032256913771229762,-0.1363645894626096,-0.28169976861843615,-3.4331704579255655,0.08950462117074269,-0.3929619008956333,1.0534845807515825,-18.47636954767775,-3.7091699310656794,0.09954182691339895,-0.06152427246454514,-0.3438425512269841,-0.04668236343322302,-3.031888743672085,-2.2147535954053663,-0.5983128254199255,-0.6220921282759134,-1.8089389367182676,-0.6506960755462783,-4.178538907296453,-8.953157496601144e-05,-0.00044205351658354924
-3.8159920742375064,-0.06265637665600128,-0.0665353546249054,-2.299191664663974,-1.475930481628567,0.0721275329984304,-0.9777009698740217,-1.22525112420441,-0.006278116638163747,-0.02798708604024498,0.2678118981499702,-0.048731766821180945,-0.17721881082724503,-1.432741672189572,-0.6699777166056085,-0.3562621519016658,-0.04004578829076119,0.04696805734054729,0.029125336313765557,0.07452318894441189,0.22691494786374225,0.03992393081092346,0.26751508446213057,-5.506556742372321,0.5950695918255445,-0.9479395182418855,-0.038300102352815314,1.3950654376177571,-0.00618691553228871,-0.10204575063846656,-0.29173740618386507,-3.1715533577181545,0.06146751187665676,-0.38922065971375447,1.068024451477165,-18.57264073906651,-3.684509060651575,0.08817817264078258,0.34969277920891817,-0.358827344253362,0.0853493533644904,-3.046996319913228,-2.242282500088202,-0.4309654571514578,-0.6213267178474948,-1.7959444139759908,-0.6135124384531521,-4.211602600288941,-8.953157496601144e-05,-0.00043836432535236956
-6.165325724755494,-0.08172006260609367,-0.024471081058452363,-2.5555163967914227,-1.216335888881527,0.10290435131587715,-0.9488391094486334,-1.1678273124030298,-0.006667256510261072,-0.022034231062295503,0.26832554094936967,-0.079914921352045,-0.1793440001496917,-0.6379312826330868,-0.8513129587057532,0.05216510248004106,-0.025960288036376646,0.04044406894097788,0.07521848218619623,0.0637941805531061,0.25183284030721065,0.06867052869499807,0.31364369418095084,-5.60875761680892,0.40457700599497654,-0.15611155205941707,-0.05942667569969273,1.816471412793134,0.03293160449814323,-0.14205535713407294,-0.3118232241570013,-3.4557392272215277,0.07388453757949796,-0.4139138394151608,1.1104060000849116,-18.545094716354303,-3.684563141828035,0.07199018676088274,-0.1630367606047418,-0.3318689888828237,-0.052789561597655264,-3.0459723343675296,-2.4743395911093087,-0.4973046873939505,-0.4102503710804737,-2.1958805376365977,-0.574856351808227,-4.130330210989652,-8.953157496601144e-05,-0.0005063577408181706
