,0
pm25_roll_median_24,0.999857990099815
pm25_roll_q75_24,0.9867764319141799
pm25_roll_max_48,0.9267110148366617
day_of_year_cos,0.9174524335132421
pm25_roll_mean_48,0.9067321921736138
pm25_roll_mean_24,0.9047944216810615
pm25_roll_max_24,0.9046285392679003
pm25_ema_48,0.8752276881228696
pm25_ema_24,0.8647112546780722
pm25_roll_min_24,0.8581954715534144
week_of_year,0.8455660987187343
pm25_roll_min_48,0.8244775826797133
pm25_ema_12,0.8141073326982404
pm25_roll_mean_12,0.8001540652386812
day_of_year_sin,0.7936461846853256
pm25_ema_6,0.7435353006756644
pm25_roll_mean_6,0.7176191651786077
month,0.6740199908227043
pm25,0.6226255710317519
pm25_lag_1,0.5973712876248438
pm25_roll_std_48,0.5972548725601712
pm25_lag_3,0.5699081448728522
temp_humidity,0.5545691703583309
temp_roll_std_24,0.5523797954240894
pm25_lag_6,0.5440113435751082
pm25_lag_12,0.5045796866521135
pm25_roll_std_24,0.5020349470961261
quarter,0.4648662691638239
pm25_lag_24,0.4520466891020938
humid_roll_mean_24,0.4229607336483392
pm25_lag_48,0.3839924225669389
month_cos,0.3835115233094806
pm25_lag_72,0.35883814751152254
pm25_roll_std_12,0.3450910589796905
temperature_lag_24,0.33030390606834725
temperature,0.3265652719715453
pm25_lag_168,0.30630962509084014
pm25_lag_336,0.2860085609102514
wind_roll_mean_24,0.28418864397290555
month_sin,0.2721265874089229
wind_x_humidity,0.21511419031188161
pm25_roll_std_6,0.20506655458694656
wind_speed,0.18053189332679853
rainfall,0.13910288222578338
pm25_diff_168,0.13882073037302511
wind_speed_lag_24,0.1350838102969174
rainfall_lag_24,0.13446708916859373
humidity,0.12427382120668984
pm25_diff_48,0.11967252766891434
pm25_diff_24,0.10118935212942048
humidity_lag_24,0.09780527635437153
pm25_diff_1,0.07458456472281405
day_of_week,0.023156075685984767
is_weekend,0.009853051500609444
is_night,0.008118598864900406
is_rush_hour,0.002470456213849115
hour_cos,0.0
hour,0.0
hour_sin,0.0
