iter	MAE
0	50.30648395
5	50.05704213
10	49.80918939
15	49.56356936
20	49.31883216
25	49.07574101
30	48.83309981
35	48.59050988
40	48.34884834
45	48.10929419
50	47.8703267
55	47.63408744
60	47.39879935
65	47.1666866
70	46.93322967
75	46.69780774
80	46.46519092
85	46.23353382
90	46.00297883
95	45.77325826
100	45.54489896
105	45.31814014
110	45.09162908
115	44.8657958
120	44.6417709
125	44.41871141
130	44.19751726
135	43.97755052
140	43.7586859
145	43.54033388
150	43.32414907
155	43.1082946
160	42.89346536
165	42.67944775
170	42.46721573
175	42.2561798
180	42.04626022
185	41.83695578
190	41.6300008
195	41.4235328
200	41.21855706
205	41.0143303
210	40.81235334
215	40.61102283
220	40.40977775
225	40.21032397
230	40.01229695
235	39.81465723
240	39.61872052
245	39.42428462
250	39.23109038
255	39.03965325
260	38.84940936
265	38.66035017
270	38.47268072
275	38.28662885
280	38.10188982
285	37.91834689
290	37.73653829
295	37.55547582
300	37.37527339
305	37.19582564
310	37.01755975
315	36.84083738
320	36.6646561
325	36.49018921
330	36.31610393
335	36.14302394
340	35.97026291
345	35.80111009
350	35.63198574
355	35.46445903
360	35.29805151
365	35.13264359
370	34.97012906
375	34.80756043
380	34.64558415
385	34.48499476
390	34.32605996
395	34.16812191
400	34.0102636
405	33.8546152
410	33.69967022
415	33.54599253
420	33.39339986
425	33.24215706
430	33.09223566
435	32.94266455
440	32.79415852
445	32.6473555
450	32.50022498
455	32.354544
460	32.21000501
465	32.06625487
470	31.92278666
475	31.78165653
480	31.64138644
485	31.50267127
490	31.36576732
495	31.22927061
500	31.09469335
505	30.96064577
510	30.82853188
515	30.69746315
520	30.56765316
525	30.43870606
530	30.31108035
535	30.18427198
540	30.05846604
545	29.93418654
550	29.81070729
555	29.68827319
560	29.56668204
565	29.44685656
570	29.32815027
575	29.21134919
580	29.09511767
585	28.98041259
590	28.86653908
595	28.75406386
600	28.64153453
605	28.53079363
610	28.42147666
615	28.31342127
620	28.20570193
625	28.09916445
630	27.99371483
635	27.88922778
640	27.78482617
645	27.68204213
650	27.57981626
655	27.47846468
660	27.37785068
665	27.27833311
670	27.18011984
675	27.08262422
680	26.98579785
685	26.88962933
690	26.79414998
695	26.69955061
700	26.60568883
705	26.51284943
710	26.42076755
715	26.32933213
720	26.23866277
725	26.14824687
730	26.0587252
735	25.97008065
740	25.88180632
745	25.79405315
750	25.70665596
755	25.61962044
760	25.53368703
765	25.44847698
770	25.36396179
775	25.28032089
780	25.19736063
785	25.1159211
790	25.03475782
795	24.95392773
800	24.87414565
805	24.7941813
810	24.71485772
815	24.63610371
820	24.55781958
825	24.48042683
830	24.40332171
835	24.32678047
840	24.25115907
845	24.17606452
850	24.10133734
855	24.02746452
860	23.95433782
865	23.88151585
870	23.80935457
875	23.7380277
880	23.6672761
885	23.5969531
890	23.52766386
895	23.45807845
900	23.38973327
905	23.32156893
910	23.25332058
915	23.18555635
920	23.11867781
925	23.05191745
930	22.98565973
935	22.920104
940	22.8550082
945	22.79029543
950	22.72620634
955	22.66257575
960	22.59958308
965	22.53671001
970	22.47454463
975	22.41233796
980	22.350829
985	22.28980276
990	22.22907411
995	22.16879115
1000	22.10895957
1005	22.0494085
1010	21.99034299
1015	21.93117638
1020	21.87296665
1025	21.81454617
1030	21.75753537
1035	21.70007889
1040	21.64291715
1045	21.5864688
1050	21.53115246
1055	21.4755015
1060	21.42064794
1065	21.36618168
1070	21.3116727
1075	21.25768203
1080	21.20375402
1085	21.15023181
1090	21.09684061
1095	21.04450453
1100	20.99209441
1105	20.93880716
1110	20.88642409
1115	20.83473589
1120	20.78338659
1125	20.73225514
1130	20.68056979
1135	20.62965051
1140	20.58030324
1145	20.53147854
1150	20.48183224
1155	20.43274839
1160	20.38288138
1165	20.3343016
1170	20.28594964
1175	20.23818718
1180	20.19109254
1185	20.14451194
1190	20.09818052
1195	20.05204987
1200	20.00637488
1205	19.96166245
1210	19.91629502
1215	19.87119529
1220	19.82662526
1225	19.78247813
1230	19.73749373
1235	19.69318001
1240	19.65028307
1245	19.60714693
1250	19.5641133
1255	19.52074647
1260	19.47809446
1265	19.43517474
1270	19.39279469
1275	19.35133734
1280	19.30916661
1285	19.2679556
1290	19.22695105
1295	19.1870771
1299	19.15610974
